title	gene_name	label	biosample_summary	accession	md5sum	file_format	assembly	paired_end	paired_with	output_type	biological_replicates	fn_hr	fn_acc
RBM15 (Homo sapiens)	RBM15	RBM15	K562	ENCFF418DFE	3585b37f399712f38edac74d46259d28	fastq	NA	2	/files/ENCFF688FME/	reads	2	RBM15_K562_rep2_R2_reads.fastq.gz	ENCFF418DFE.fastq.gz
RBM15 (Homo sapiens)	RBM15	RBM15	K562	ENCFF008EYG	82dfceba2bb5e7c54e2eb224de6327f0	fastq	NA	1	/files/ENCFF452DMI/	reads	1	RBM15_K562_rep1_R1_reads.fastq.gz	ENCFF008EYG.fastq.gz
RBM15 (Homo sapiens)	RBM15	RBM15	K562	ENCFF452DMI	66c4c954a23132559a51ac5cbb6e3d29	fastq	NA	2	/files/ENCFF008EYG/	reads	1	RBM15_K562_rep1_R2_reads.fastq.gz	ENCFF452DMI.fastq.gz
FXR1 (Homo sapiens)	FXR1	FXR1	K562	ENCFF004KTT	1a184759e9670babcfc681b7e68c0e2e	fastq	NA	1	/files/ENCFF205KCE/	reads	1	FXR1_K562_rep1_R1_reads.fastq.gz	ENCFF004KTT.fastq.gz
FXR1 (Homo sapiens)	FXR1	FXR1	K562	ENCFF191BRO	acb1426d6bd6ecfff4fbb7611ee0d2cd	fastq	NA	1	/files/ENCFF956CKP/	reads	2	FXR1_K562_rep2_R1_reads.fastq.gz	ENCFF191BRO.fastq.gz
FXR1 (Homo sapiens)	FXR1	FXR1	K562	ENCFF956CKP	ea982304326c4a0407ce73ec762d0439	fastq	NA	2	/files/ENCFF191BRO/	reads	2	FXR1_K562_rep2_R2_reads.fastq.gz	ENCFF956CKP.fastq.gz
FXR1 (Homo sapiens)	FXR1	FXR1	K562	ENCFF205KCE	42662b56b18cd11f3d7b72f89089522e	fastq	NA	2	/files/ENCFF004KTT/	reads	1	FXR1_K562_rep1_R2_reads.fastq.gz	ENCFF205KCE.fastq.gz
UPF1 (Homo sapiens)	UPF1	UPF1	K562	ENCFF170KCT	ac3ee22d4a1ab424a860475bbe968630	fastq	NA	1	/files/ENCFF493EKO/	reads	1	UPF1_K562_rep1_R1_reads.fastq.gz	ENCFF170KCT.fastq.gz
UPF1 (Homo sapiens)	UPF1	UPF1	K562	ENCFF425NCO	d81664ec2a6493849ea28176cc834222	fastq	NA	1	/files/ENCFF466HWF/	reads	2	UPF1_K562_rep2_R1_reads.fastq.gz	ENCFF425NCO.fastq.gz
UPF1 (Homo sapiens)	UPF1	UPF1	K562	ENCFF493EKO	478a4d3e309f04a06c3237f7cfc021d0	fastq	NA	2	/files/ENCFF170KCT/	reads	1	UPF1_K562_rep1_R2_reads.fastq.gz	ENCFF493EKO.fastq.gz
UPF1 (Homo sapiens)	UPF1	UPF1	K562	ENCFF466HWF	bc1c87345e85726babb321f28a80f25d	fastq	NA	2	/files/ENCFF425NCO/	reads	2	UPF1_K562_rep2_R2_reads.fastq.gz	ENCFF466HWF.fastq.gz
NCBP2 eCLIP mock input (Homo sapiens)	NA	NCBP2 eCLIP mock input	HepG2	ENCFF304ECY	977852ee47190156f0037505ca20647d	fastq	NA	1	/files/ENCFF016MTU/	reads	1	NCBP2-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF304ECY.fastq.gz
NCBP2 eCLIP mock input (Homo sapiens)	NA	NCBP2 eCLIP mock input	HepG2	ENCFF016MTU	0c320c023eaad0f336a39f16c1645f9e	fastq	NA	2	/files/ENCFF304ECY/	reads	1	NCBP2-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF016MTU.fastq.gz
TAF15 eCLIP mock input (Homo sapiens)	NA	TAF15 eCLIP mock input	HepG2	ENCFF832HQP	530a9be4c3aaf36ac720c61e55ec5650	fastq	NA	1	/files/ENCFF612XKJ/	reads	1	TAF15-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF832HQP.fastq.gz
TAF15 eCLIP mock input (Homo sapiens)	NA	TAF15 eCLIP mock input	HepG2	ENCFF612XKJ	cbcbd3eeef2dade349211218f7a6d225	fastq	NA	2	/files/ENCFF832HQP/	reads	1	TAF15-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF612XKJ.fastq.gz
FTO eCLIP mock input (Homo sapiens)	NA	FTO eCLIP mock input	K562	ENCFF679NRW	354ce60c8419d1889efe48d4111bafa7	fastq	NA	1	/files/ENCFF757EAS/	reads	1	FTO-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF679NRW.fastq.gz
FTO eCLIP mock input (Homo sapiens)	NA	FTO eCLIP mock input	K562	ENCFF757EAS	f25e39c3fb84fa474a984c877f7ec084	fastq	NA	2	/files/ENCFF679NRW/	reads	1	FTO-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF757EAS.fastq.gz
XRCC6 eCLIP mock input (Homo sapiens)	NA	XRCC6 eCLIP mock input	HepG2	ENCFF656XSL	6ee5fd791ad57f64d49e41392681c821	fastq	NA	1	/files/ENCFF574XRV/	reads	1	XRCC6-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF656XSL.fastq.gz
XRCC6 eCLIP mock input (Homo sapiens)	NA	XRCC6 eCLIP mock input	HepG2	ENCFF574XRV	5133afb8bb649ba4812beb484d3ad650	fastq	NA	2	/files/ENCFF656XSL/	reads	1	XRCC6-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF574XRV.fastq.gz
DROSHA eCLIP mock input (Homo sapiens)	NA	DROSHA eCLIP mock input	K562	ENCFF018AVT	f971ef32dda6e2fa6244373916d97534	fastq	NA	1	/files/ENCFF004HVL/	reads	1	DROSHA-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF018AVT.fastq.gz
DROSHA eCLIP mock input (Homo sapiens)	NA	DROSHA eCLIP mock input	K562	ENCFF004HVL	317dd32d99aa83af4d65d2ee09aa8ad9	fastq	NA	2	/files/ENCFF018AVT/	reads	1	DROSHA-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF004HVL.fastq.gz
U2AF2 (Homo sapiens)	U2AF2	U2AF2	K562	ENCFF270BLT	5f621bd4c03babadfff64c4e7009ef21	fastq	NA	1	/files/ENCFF708UWK/	reads	2	U2AF2_K562_rep2_R1_reads.fastq.gz	ENCFF270BLT.fastq.gz
U2AF2 (Homo sapiens)	U2AF2	U2AF2	K562	ENCFF567UMG	c6fb51829dc27a2f7fa1bda383e3d636	fastq	NA	1	/files/ENCFF886IXX/	reads	1	U2AF2_K562_rep1_R1_reads.fastq.gz	ENCFF567UMG.fastq.gz
U2AF2 (Homo sapiens)	U2AF2	U2AF2	K562	ENCFF708UWK	2aaf6875df6acde95524264b476851a9	fastq	NA	2	/files/ENCFF270BLT/	reads	2	U2AF2_K562_rep2_R2_reads.fastq.gz	ENCFF708UWK.fastq.gz
U2AF2 (Homo sapiens)	U2AF2	U2AF2	K562	ENCFF886IXX	0f2546d8cfa1976d6df57efbd29a3df1	fastq	NA	2	/files/ENCFF567UMG/	reads	1	U2AF2_K562_rep1_R2_reads.fastq.gz	ENCFF886IXX.fastq.gz
NSUN2 eCLIP mock input (Homo sapiens)	NA	NSUN2 eCLIP mock input	K562	ENCFF489IRY	b780b8c9d550bedd827832abcc2dfc6c	fastq	NA	1	/files/ENCFF645ZNG/	reads	1	NSUN2-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF489IRY.fastq.gz
NSUN2 eCLIP mock input (Homo sapiens)	NA	NSUN2 eCLIP mock input	K562	ENCFF645ZNG	07c2ac4e185f300777f2dc46e41f3d80	fastq	NA	2	/files/ENCFF489IRY/	reads	1	NSUN2-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF645ZNG.fastq.gz
UPF1 eCLIP mock input (Homo sapiens)	NA	UPF1 eCLIP mock input	K562	ENCFF210JCS	1901180f764870e46d0c90046b9bbe63	fastq	NA	1	/files/ENCFF519MAY/	reads	1	UPF1-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF210JCS.fastq.gz
UPF1 eCLIP mock input (Homo sapiens)	NA	UPF1 eCLIP mock input	K562	ENCFF519MAY	075962a1be383509b3ae6c3c60b1585f	fastq	NA	2	/files/ENCFF210JCS/	reads	1	UPF1-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF519MAY.fastq.gz
BUD13 eCLIP mock input (Homo sapiens)	NA	BUD13 eCLIP mock input	K562	ENCFF818MIM	d832cf3dac6d4d93af6c0151156fee4b	fastq	NA	1	/files/ENCFF593CTK/	reads	1	BUD13-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF818MIM.fastq.gz
BUD13 eCLIP mock input (Homo sapiens)	NA	BUD13 eCLIP mock input	K562	ENCFF593CTK	05bf301b32239625a46caa71e644d1c4	fastq	NA	2	/files/ENCFF818MIM/	reads	1	BUD13-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF593CTK.fastq.gz
TNRC6A eCLIP mock input (Homo sapiens)	NA	TNRC6A eCLIP mock input	HepG2	ENCFF655TIR	445602728a0dcf92ed5f29e1688c32f2	fastq	NA	1	/files/ENCFF410LTZ/	reads	1	TNRC6A-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF655TIR.fastq.gz
TNRC6A eCLIP mock input (Homo sapiens)	NA	TNRC6A eCLIP mock input	HepG2	ENCFF410LTZ	babe8c31b3dff6a27e3b93d26a68015b	fastq	NA	2	/files/ENCFF655TIR/	reads	1	TNRC6A-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF410LTZ.fastq.gz
NPM1 eCLIP mock input (Homo sapiens)	NA	NPM1 eCLIP mock input	K562	ENCFF040BAA	c08e12c36633164ed588884c05d99a36	fastq	NA	1	/files/ENCFF209VJW/	reads	1	NPM1-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF040BAA.fastq.gz
NPM1 eCLIP mock input (Homo sapiens)	NA	NPM1 eCLIP mock input	K562	ENCFF209VJW	bdf8ce7a73569d40bf0b735bcfae889b	fastq	NA	2	/files/ENCFF040BAA/	reads	1	NPM1-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF209VJW.fastq.gz
PTBP1 eCLIP mock input (Homo sapiens)	NA	PTBP1 eCLIP mock input	K562	ENCFF905RDN	856ab29e8d5f253b4e65342cde172c74	fastq	NA	1	/files/ENCFF960RXN/	reads	1	PTBP1-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF905RDN.fastq.gz
PTBP1 eCLIP mock input (Homo sapiens)	NA	PTBP1 eCLIP mock input	K562	ENCFF960RXN	ac63691b78240ba8145371cd250bc2a7	fastq	NA	2	/files/ENCFF905RDN/	reads	1	PTBP1-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF960RXN.fastq.gz
FTO (Homo sapiens)	FTO	FTO	K562	ENCFF836JKJ	772f1cdd186f5d93199a785b413a8bd8	fastq	NA	1	/files/ENCFF185EIE/	reads	2	FTO_K562_rep2_R1_reads.fastq.gz	ENCFF836JKJ.fastq.gz
FTO (Homo sapiens)	FTO	FTO	K562	ENCFF374PSI	3c4ec07aba0831657ed48c5d66227160	fastq	NA	1	/files/ENCFF877URW/	reads	1	FTO_K562_rep1_R1_reads.fastq.gz	ENCFF374PSI.fastq.gz
FTO (Homo sapiens)	FTO	FTO	K562	ENCFF877URW	c6310f31c9a119bfa8206353dd7a735b	fastq	NA	2	/files/ENCFF374PSI/	reads	1	FTO_K562_rep1_R2_reads.fastq.gz	ENCFF877URW.fastq.gz
FTO (Homo sapiens)	FTO	FTO	K562	ENCFF185EIE	dc4c2bf381d21287bb39e6593347cac0	fastq	NA	2	/files/ENCFF836JKJ/	reads	2	FTO_K562_rep2_R2_reads.fastq.gz	ENCFF185EIE.fastq.gz
DKC1 (Homo sapiens)	DKC1	DKC1	HepG2	ENCFF850VGF	0bdd56ecfebe43b639ac65df31ac6583	fastq	NA	1	/files/ENCFF565YYP/	reads	1	DKC1_HepG2_rep1_R1_reads.fastq.gz	ENCFF850VGF.fastq.gz
DKC1 (Homo sapiens)	DKC1	DKC1	HepG2	ENCFF462ZYJ	851ea1d7734724ae5f771d2bbca83434	fastq	NA	1	/files/ENCFF494NKD/	reads	2	DKC1_HepG2_rep2_R1_reads.fastq.gz	ENCFF462ZYJ.fastq.gz
DKC1 (Homo sapiens)	DKC1	DKC1	HepG2	ENCFF565YYP	d382ae4a0c480342035ad7bf2f614777	fastq	NA	2	/files/ENCFF850VGF/	reads	1	DKC1_HepG2_rep1_R2_reads.fastq.gz	ENCFF565YYP.fastq.gz
DKC1 (Homo sapiens)	DKC1	DKC1	HepG2	ENCFF494NKD	1d5299a85ac3e13eba6e185dcad50343	fastq	NA	2	/files/ENCFF462ZYJ/	reads	2	DKC1_HepG2_rep2_R2_reads.fastq.gz	ENCFF494NKD.fastq.gz
EIF3H (Homo sapiens)	EIF3H	EIF3H	HepG2	ENCFF408PDH	daac9271ed5bbe72ed2af7e1c7427d3c	fastq	NA	1	/files/ENCFF105SXR/	reads	2	EIF3H_HepG2_rep2_R1_reads.fastq.gz	ENCFF408PDH.fastq.gz
EIF3H (Homo sapiens)	EIF3H	EIF3H	HepG2	ENCFF146VOH	8f928875b524e65218da39bc6367ac47	fastq	NA	2	/files/ENCFF834HXI/	reads	1	EIF3H_HepG2_rep1_R2_reads.fastq.gz	ENCFF146VOH.fastq.gz
EIF3H (Homo sapiens)	EIF3H	EIF3H	HepG2	ENCFF105SXR	1dfbe29994a8ddca54c781eb1c0c21ce	fastq	NA	2	/files/ENCFF408PDH/	reads	2	EIF3H_HepG2_rep2_R2_reads.fastq.gz	ENCFF105SXR.fastq.gz
EIF3H (Homo sapiens)	EIF3H	EIF3H	HepG2	ENCFF834HXI	ea270ce5352db4d087adc4fa09858a07	fastq	NA	1	/files/ENCFF146VOH/	reads	1	EIF3H_HepG2_rep1_R1_reads.fastq.gz	ENCFF834HXI.fastq.gz
SND1 (Homo sapiens)	SND1	SND1	HepG2	ENCFF886NVW	90443c4ba12660944d0f9af0f1590724	fastq	NA	1	/files/ENCFF169YJW/	reads	1	SND1_HepG2_rep1_R1_reads.fastq.gz	ENCFF886NVW.fastq.gz
SND1 (Homo sapiens)	SND1	SND1	HepG2	ENCFF303YBI	9629d8dcf0902274b4b6e93590929717	fastq	NA	1	/files/ENCFF335KAS/	reads	2	SND1_HepG2_rep2_R1_reads.fastq.gz	ENCFF303YBI.fastq.gz
SND1 (Homo sapiens)	SND1	SND1	HepG2	ENCFF169YJW	93bd8960c48737b1bde53dd9fa236993	fastq	NA	2	/files/ENCFF886NVW/	reads	1	SND1_HepG2_rep1_R2_reads.fastq.gz	ENCFF169YJW.fastq.gz
SND1 (Homo sapiens)	SND1	SND1	HepG2	ENCFF335KAS	bb02d759aa630484a2183eaea3fbae35	fastq	NA	2	/files/ENCFF303YBI/	reads	2	SND1_HepG2_rep2_R2_reads.fastq.gz	ENCFF335KAS.fastq.gz
RPL23A eCLIP mock input (Homo sapiens)	NA	RPL23A eCLIP mock input	HepG2	ENCFF877MBQ	56b9ecd441363de56d0b4c5aa5e9fb1e	fastq	NA	1	/files/ENCFF324PPQ/	reads	1	RPL23A-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF877MBQ.fastq.gz
RPL23A eCLIP mock input (Homo sapiens)	NA	RPL23A eCLIP mock input	HepG2	ENCFF324PPQ	05e560a85a4d3eae4624372a2bfefdec	fastq	NA	2	/files/ENCFF877MBQ/	reads	1	RPL23A-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF324PPQ.fastq.gz
IGF2BP3 (Homo sapiens)	IGF2BP3	IGF2BP3	HepG2	ENCFF518ZYS	3be48e06b76c3ffa09d36c2b35badabf	fastq	NA	1	/files/ENCFF333RHN/	reads	1	IGF2BP3_HepG2_rep1_R1_reads.fastq.gz	ENCFF518ZYS.fastq.gz
IGF2BP3 (Homo sapiens)	IGF2BP3	IGF2BP3	HepG2	ENCFF768LZF	be51510c4357538c182ca1530ba7b512	fastq	NA	1	/files/ENCFF860PRT/	reads	2	IGF2BP3_HepG2_rep2_R1_reads.fastq.gz	ENCFF768LZF.fastq.gz
IGF2BP3 (Homo sapiens)	IGF2BP3	IGF2BP3	HepG2	ENCFF860PRT	318c113d161c5b449613bd3d18973dd6	fastq	NA	2	/files/ENCFF768LZF/	reads	2	IGF2BP3_HepG2_rep2_R2_reads.fastq.gz	ENCFF860PRT.fastq.gz
IGF2BP3 (Homo sapiens)	IGF2BP3	IGF2BP3	HepG2	ENCFF333RHN	498355e692a44be5c80019be3c5627a2	fastq	NA	2	/files/ENCFF518ZYS/	reads	1	IGF2BP3_HepG2_rep1_R2_reads.fastq.gz	ENCFF333RHN.fastq.gz
DHX30 eCLIP mock input (Homo sapiens)	NA	DHX30 eCLIP mock input	K562	ENCFF418SOC	b96b04ccc014652e9f6b18c239c35a49	fastq	NA	1	/files/ENCFF245WDH/	reads	1	DHX30-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF418SOC.fastq.gz
DHX30 eCLIP mock input (Homo sapiens)	NA	DHX30 eCLIP mock input	K562	ENCFF245WDH	b987e0f9d19f6a1964e9fcb7bd1b51bb	fastq	NA	2	/files/ENCFF418SOC/	reads	1	DHX30-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF245WDH.fastq.gz
NONO (Homo sapiens)	NONO	NONO	K562	ENCFF724ERL	bc9cbe971ee56368f6f45cd4b8493a27	fastq	NA	1	/files/ENCFF008LDP/	reads	2	NONO_K562_rep2_R1_reads.fastq.gz	ENCFF724ERL.fastq.gz
NONO (Homo sapiens)	NONO	NONO	K562	ENCFF109GPL	616de1a245b14091491d232fe5ba5ecf	fastq	NA	1	/files/ENCFF896KWG/	reads	1	NONO_K562_rep1_R1_reads.fastq.gz	ENCFF109GPL.fastq.gz
NONO (Homo sapiens)	NONO	NONO	K562	ENCFF008LDP	0a961a0d1cadac1aeb39dc2c4a1c7ec2	fastq	NA	2	/files/ENCFF724ERL/	reads	2	NONO_K562_rep2_R2_reads.fastq.gz	ENCFF008LDP.fastq.gz
NONO (Homo sapiens)	NONO	NONO	K562	ENCFF896KWG	bded9395f4b268f98287acaba9e69f45	fastq	NA	2	/files/ENCFF109GPL/	reads	1	NONO_K562_rep1_R2_reads.fastq.gz	ENCFF896KWG.fastq.gz
SUGP2 (Homo sapiens)	SUGP2	SUGP2	HepG2	ENCFF179OBF	d5898f58ba194c9f80481af4c945cd1d	fastq	NA	1	/files/ENCFF358YCG/	reads	2	SUGP2_HepG2_rep2_R1_reads.fastq.gz	ENCFF179OBF.fastq.gz
SUGP2 (Homo sapiens)	SUGP2	SUGP2	HepG2	ENCFF451TDR	6bafff79743fdd4cbae66eccee48b2f3	fastq	NA	1	/files/ENCFF873UBU/	reads	1	SUGP2_HepG2_rep1_R1_reads.fastq.gz	ENCFF451TDR.fastq.gz
SUGP2 (Homo sapiens)	SUGP2	SUGP2	HepG2	ENCFF358YCG	76d72921d5e8feba9ec3cb9de9ce5b1b	fastq	NA	2	/files/ENCFF179OBF/	reads	2	SUGP2_HepG2_rep2_R2_reads.fastq.gz	ENCFF358YCG.fastq.gz
SUGP2 (Homo sapiens)	SUGP2	SUGP2	HepG2	ENCFF873UBU	9effa9c6f2cd39215c3b7df8a13ab67e	fastq	NA	2	/files/ENCFF451TDR/	reads	1	SUGP2_HepG2_rep1_R2_reads.fastq.gz	ENCFF873UBU.fastq.gz
YWHAG eCLIP mock input (Homo sapiens)	NA	YWHAG eCLIP mock input	K562	ENCFF661RIY	3254ee494a99acb100ba251ed1ec1c05	fastq	NA	1	/files/ENCFF101JTN/	reads	1	YWHAG-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF661RIY.fastq.gz
YWHAG eCLIP mock input (Homo sapiens)	NA	YWHAG eCLIP mock input	K562	ENCFF101JTN	f82dd64c08a40b3f5d90c5f03d07abab	fastq	NA	2	/files/ENCFF661RIY/	reads	1	YWHAG-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF101JTN.fastq.gz
SLTM (Homo sapiens)	SLTM	SLTM	HepG2	ENCFF065END	f40233325db843e19c0703b7fd9b1519	fastq	NA	1	/files/ENCFF142LPF/	reads	1	SLTM_HepG2_rep1_R1_reads.fastq.gz	ENCFF065END.fastq.gz
SLTM (Homo sapiens)	SLTM	SLTM	HepG2	ENCFF958NRC	0f0bfbbc9d375eaf3470a71ec74b3fd7	fastq	NA	1	/files/ENCFF208JVP/	reads	2	SLTM_HepG2_rep2_R1_reads.fastq.gz	ENCFF958NRC.fastq.gz
SLTM (Homo sapiens)	SLTM	SLTM	HepG2	ENCFF208JVP	eca79de2ae96500fe5916f2e3d16c580	fastq	NA	2	/files/ENCFF958NRC/	reads	2	SLTM_HepG2_rep2_R2_reads.fastq.gz	ENCFF208JVP.fastq.gz
SLTM (Homo sapiens)	SLTM	SLTM	HepG2	ENCFF142LPF	a7d877a5e6fa9459ad0096091a696cdf	fastq	NA	2	/files/ENCFF065END/	reads	1	SLTM_HepG2_rep1_R2_reads.fastq.gz	ENCFF142LPF.fastq.gz
FXR2 (Homo sapiens)	FXR2	FXR2	K562	ENCFF487CVX	52045309480f011460c9ec45b666f545	fastq	NA	1	/files/ENCFF616XVI/	reads	2	FXR2_K562_rep2_R1_reads.fastq.gz	ENCFF487CVX.fastq.gz
FXR2 (Homo sapiens)	FXR2	FXR2	K562	ENCFF390XNM	6814aaa90fe155c48de356c1009596e6	fastq	NA	1	/files/ENCFF179VQL/	reads	1	FXR2_K562_rep1_R1_reads.fastq.gz	ENCFF390XNM.fastq.gz
FXR2 (Homo sapiens)	FXR2	FXR2	K562	ENCFF616XVI	6c8c01c8d8052cd9565503e86a8cc30c	fastq	NA	2	/files/ENCFF487CVX/	reads	2	FXR2_K562_rep2_R2_reads.fastq.gz	ENCFF616XVI.fastq.gz
FXR2 (Homo sapiens)	FXR2	FXR2	K562	ENCFF179VQL	6e8d71dd0e30a8e0e6c21d6ccfcc741d	fastq	NA	2	/files/ENCFF390XNM/	reads	1	FXR2_K562_rep1_R2_reads.fastq.gz	ENCFF179VQL.fastq.gz
UCHL5 eCLIP mock input (Homo sapiens)	NA	UCHL5 eCLIP mock input	K562	ENCFF434XME	a0f52730857858cba430921efbbdd821	fastq	NA	1	/files/ENCFF545RPT/	reads	1	UCHL5-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF434XME.fastq.gz
UCHL5 eCLIP mock input (Homo sapiens)	NA	UCHL5 eCLIP mock input	K562	ENCFF545RPT	576d3a262cfd26665e62ad7e2d393f52	fastq	NA	2	/files/ENCFF434XME/	reads	1	UCHL5-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF545RPT.fastq.gz
SBDS eCLIP mock input (Homo sapiens)	NA	SBDS eCLIP mock input	K562	ENCFF397TYS	beaae542cbbd184c6738481bb0521eb9	fastq	NA	1	/files/ENCFF270EUA/	reads	1	SBDS-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF397TYS.fastq.gz
SBDS eCLIP mock input (Homo sapiens)	NA	SBDS eCLIP mock input	K562	ENCFF270EUA	f018febe2d4bb960d2b962f0cef861a8	fastq	NA	2	/files/ENCFF397TYS/	reads	1	SBDS-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF270EUA.fastq.gz
RBM5 (Homo sapiens)	RBM5	RBM5	HepG2	ENCFF068IRI	71cd2d6005a4c725b3fed45ceac983d7	fastq	NA	1	/files/ENCFF797BGS/	reads	2	RBM5_HepG2_rep2_R1_reads.fastq.gz	ENCFF068IRI.fastq.gz
RBM5 (Homo sapiens)	RBM5	RBM5	HepG2	ENCFF391YUD	ca956764177be504cba02d1fbf811a73	fastq	NA	1	/files/ENCFF253SAE/	reads	1	RBM5_HepG2_rep1_R1_reads.fastq.gz	ENCFF391YUD.fastq.gz
RBM5 (Homo sapiens)	RBM5	RBM5	HepG2	ENCFF253SAE	dfc7c5968475e03f2ff36ff9d6c5bc17	fastq	NA	2	/files/ENCFF391YUD/	reads	1	RBM5_HepG2_rep1_R2_reads.fastq.gz	ENCFF253SAE.fastq.gz
RBM5 (Homo sapiens)	RBM5	RBM5	HepG2	ENCFF797BGS	22e936c4756ac15a94143880ff87d78e	fastq	NA	2	/files/ENCFF068IRI/	reads	2	RBM5_HepG2_rep2_R2_reads.fastq.gz	ENCFF797BGS.fastq.gz
NOL12 (Homo sapiens)	NOL12	NOL12	HepG2	ENCFF241ABH	e6c1a5742e9799186ceaf3f224b1e9fc	fastq	NA	1	/files/ENCFF906PLZ/	reads	2	NOL12_HepG2_rep2_R1_reads.fastq.gz	ENCFF241ABH.fastq.gz
NOL12 (Homo sapiens)	NOL12	NOL12	HepG2	ENCFF483TJU	5ee853d2b65437ae9f71bd088a68ac72	fastq	NA	1	/files/ENCFF765OCP/	reads	1	NOL12_HepG2_rep1_R1_reads.fastq.gz	ENCFF483TJU.fastq.gz
NOL12 (Homo sapiens)	NOL12	NOL12	HepG2	ENCFF765OCP	b51541997ed7b40afa7d154259f4390d	fastq	NA	2	/files/ENCFF483TJU/	reads	1	NOL12_HepG2_rep1_R2_reads.fastq.gz	ENCFF765OCP.fastq.gz
NOL12 (Homo sapiens)	NOL12	NOL12	HepG2	ENCFF906PLZ	5272ea3eca0a45787c2f921623764cbb	fastq	NA	2	/files/ENCFF241ABH/	reads	2	NOL12_HepG2_rep2_R2_reads.fastq.gz	ENCFF906PLZ.fastq.gz
ILF3 eCLIP mock input (Homo sapiens)	NA	ILF3 eCLIP mock input	HepG2	ENCFF489GBW	e29aea556d9b869d667a490ac392b12e	fastq	NA	1	/files/ENCFF500NQE/	reads	1	ILF3-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF489GBW.fastq.gz
ILF3 eCLIP mock input (Homo sapiens)	NA	ILF3 eCLIP mock input	HepG2	ENCFF500NQE	f6c1fe4a219e05e98c930a0ebb120960	fastq	NA	2	/files/ENCFF489GBW/	reads	1	ILF3-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF500NQE.fastq.gz
AARS eCLIP mock input (Homo sapiens)	NA	AARS eCLIP mock input	K562	ENCFF159ZFD	7a6f7a2632889c7a60c63f6f5b127a08	fastq	NA	1	/files/ENCFF595YFZ/	reads	1	AARS-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz	ENCFF159ZFD.fastq.gz
AARS eCLIP mock input (Homo sapiens)	NA	AARS eCLIP mock input	K562	ENCFF595YFZ	32755d4b973d0c331cb2c696fe2c497b	fastq	NA	2	/files/ENCFF159ZFD/	reads	1	AARS-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz	ENCFF595YFZ.fastq.gz
MATR3 eCLIP mock input (Homo sapiens)	NA	MATR3 eCLIP mock input	HepG2	ENCFF396MHA	929022feb9803491e5466743cfbb6174	fastq	NA	1	/files/ENCFF480VLX/	reads	1	MATR3-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz	ENCFF396MHA.fastq.gz
MATR3 eCLIP mock input (Homo sapiens)	NA	MATR3 eCLIP mock input	HepG2	ENCFF480VLX	c976ae77cbfd4b6965f45e3294c9d301	fastq	NA	2	/files/ENCFF396MHA/	reads	1	MATR3-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz	ENCFF480VLX.fastq.gz
